"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"1633",1633,"jeep","7037526514",28,713,108,"2012-01-27","19:34:44","2012-01-27",5,"night","photo",8,3,0,3,0,0,2,0,2,0,1,1,"congratulations to kerry from spokane wa, the winner of our arctic yeti dig and the proud owner of a new jeep wrangler arctic edition!"
"1634",1634,"jeep","7037526514",40,511,27,"2012-01-27","18:30:24","2012-01-27",5,"afternoon","photo",NA,NA,0,0,0,0,0,0,1,0,0,0,"the arctic yeti dig is live! tune in now for all of the action: "
"1635",1635,"jeep","7037526514",41,804,31,"2012-01-27","05:19:40","2012-01-27",5,"early morning","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1636",1636,"jeep","7037526514",53,798,55,"2012-01-27","04:30:23","2012-01-27",5,"early morning","photo",1,NA,0,2,0,0,0,0,3,0,0,2,"we're on the ground in aspen for the 2012 winter x games! join us tomorrow at 1:30 est for live video of the arctic yeti dig and follow us on twitter (@jeep) for real time coverage of all of the action."
"1637",1637,"jeep","7037526514",17,533,486,"2012-01-26","16:00:03","2012-01-26",4,"afternoon","photo",2,NA,0,0,1,0,0,1,1,0,0,0,"caption this! let us know what the jeep/gentlemen are thinking (photo courtesy of flickr user john fraissinet):"
"1638",1638,"jeep","7037526514",42,922,59,"2012-01-25","21:55:41","2012-01-25",3,"night","photo",3,1,1,2,0,1,0,1,1,0,0,0,"our bags are packed and we're ready to do some yeti hunting! stay tuned for exclusive jeep coverage of the 2012 winter x games, and be sure to join us at 1:30 est on friday for live video of our arctic yeti dig."
"1639",1639,"jeep","7037526514",123,1289,188,"2012-01-25","17:02:11","2012-01-25",3,"afternoon","photo",9,2,1,1,0,1,0,1,0,0,1,0,"hey jeep fans, there seems to be a little confusion over entering our ""name my ride"" contest. to submit your great name idea for a chance to win a new grand cherokee you need to either 1. use the jeep name my ride tab () or 2. go to www.jeep.com/namemyride. entries submitted on the wall or as a comment will not be counted."
"1640",1640,"jeep","7037526514",195,1848,1172,"2012-01-25","16:00:03","2012-01-25",3,"afternoon","photo",7,2,0,2,0,0,0,0,1,0,0,0,"how would you like to name our next production-intent concept vehicle? what if we said you could also win a new 2012 grand cherokee? put on your thinking caps ladies and gentlemen and submit your best ideas to our ""name my ride"" contest: "
"1641",1641,"jeep","7037526514",0,751,81,"2012-01-24","21:30:01","2012-01-24",2,"night","link",NA,NA,1,1,0,0,1,0,1,0,1,1,"u.s. news & world report has named the jeep wrangler one of 2012's ""best cars for the money"":"
"1642",1642,"jeep","7037526514",130,1628,155,"2012-01-24","16:00:15","2012-01-24",2,"afternoon","photo",15,4,0,5,1,0,4,0,4,1,2,4,"we've gotten final confirmation from our times of your life contest winner and we're happy to announce that cody a. is the proud owner of a new 2012 jeep wrangler! cody's winning entry was titled ""rocky mountain rubicon"". congratulations cody!"
"1643",1643,"jeep","7037526514",126,1666,125,"2012-01-23","20:55:31","2012-01-23",1,"night","photo",NA,1,0,2,0,0,0,0,0,0,0,0,"all of our yeti diggers have been selected and are ready to compete for a new wrangler arctic edition! tune in this friday at 1:30 est for live video from the dig, and stay with us all weekend for highlights from the 2012 winter x games!"
