"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","message","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative.x","positive.x","sadness","surprise","trust","constraining","litigious","negative.y","positive.y","uncertainty","n"
"2804",2804,"subaruofamerica","101616856688",112,289,23,"2012-01-31","16:59:03","2012-01-31",2,"afternoon","video","this past weekend's sno*drift rally was nothing short of a sick ride in the most challenging of winter conditions. with nearly 70 top rally teams competing on 130 miles of snow and ice-covered roads, srtusa's david higgins and craig drew dominated for the win. check out the video: ",4,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,31
"2805",2805,"subaruofamerica","101616856688",211,410,46,"2012-01-30","18:25:47","2012-01-30",1,"afternoon","video","have you ever backed up a trailer? not as easy as it looks. see how our subaru dog, kasey, does. ",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,5
"2806",2806,"subaruofamerica","101616856688",253,494,58,"2012-01-30","00:31:56","2012-01-30",1,"early morning","video","have you seen what the subaru dog pack is up to? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2807",2807,"subaruofamerica","101616856688",0,85,11,"2012-01-29","18:39:13","2012-01-29",7,"afternoon","link","we’re really racking up the frequent flyer miles for our auto shows this month – now we’re off to the “biggest little city in the world” – reno, nevada!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"2808",2808,"subaruofamerica","101616856688",2,270,32,"2012-01-28","01:41:25","2012-01-28",6,"early morning","status","at the end of day one at the sno*drift rally, subaru rally team usa driver david higgins has a one minute and 45 second lead over the field!  one more day of slick icy michigan roads await tomorrow.   good thing subaru symmetrical awd is the best!  go srtusa!",1,2,0,2,0,0,0,0,2,0,0,1,NA,NA,NA,NA,NA,26
"2809",2809,"subaruofamerica","101616856688",67,519,31,"2012-01-28","01:37:10","2012-01-28",6,"early morning","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2810",2810,"subaruofamerica","101616856688",1,106,8,"2012-01-27","19:04:22","2012-01-27",5,"night","link","whether you’re in the stands or on your couch, put your hands together for the subaru road racing team, competing this weekend in the grand-am 200 at daytona international speedway in daytona, fl! check out our events tab for more info: ",3,1,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,21
"2811",2811,"subaruofamerica","101616856688",25,103,12,"2012-01-27","18:47:39","2012-01-27",5,"afternoon","link","gianni cabiglio of brz-club.com sent some more love our way with this video featuring an overview and specs of the 2013 subaru brz: ",3,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,12
"2812",2812,"subaruofamerica","101616856688",0,49,6,"2012-01-27","18:07:25","2012-01-27",5,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2813",2813,"subaruofamerica","101616856688",0,34,3,"2012-01-27","18:07:11","2012-01-27",5,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
